alat, vol, etot
9.7, 228.1682, -15.70673164
9.8, 235.2980, -15.71753390
9.9, 242.5748, -15.72612579
10.0, 250.0000, -15.73268208
10.1, 257.5752, -15.73736691
10.2, 265.3020, -15.74033494
10.3, 273.1818, -15.74173148
10.4, 281.2160, -15.74169325
10.5, 289.4062, -15.74034912
10.6, 297.7540, -15.73781993
10.7, 306.2607, -15.73421946
10.8, 314.9280, -15.72965458
