# Volume points
  35.33534    0.24415   0.23948   0.21898   0.18344   0.13489   0.07537   0.00657  -0.07022  -0.15400  -0.24397
  37.59013    0.09871   0.09511   0.07650   0.04233  -0.00524  -0.06397  -0.13212  -0.20833  -0.29158  -0.38105
  39.93885    0.05548   0.05213   0.03360  -0.00118  -0.04975  -0.10970  -0.17918  -0.25679  -0.34149  -0.43244
  42.38343    0.09616   0.09290   0.07403   0.03819  -0.01179  -0.07334  -0.14452  -0.22389  -0.31039  -0.40317
  44.92578    0.20383   0.20056   0.18103   0.14382   0.09211   0.02867  -0.04449  -0.12590  -0.21447  -0.30935

# Fitted data
  35.33534    0.24417   0.23951   0.21902   0.18349   0.13496   0.07546   0.00667  -0.07010  -0.15386  -0.24382
  35.38329    0.23978   0.23514   0.21472   0.17925   0.13076   0.07130   0.00256  -0.07418  -0.15791  -0.24783
  35.43125    0.23544   0.23084   0.21048   0.17507   0.12662   0.06720  -0.00151  -0.07821  -0.16190  -0.25179
  35.47920    0.23117   0.22661   0.20631   0.17094   0.12254   0.06316  -0.00552  -0.08219  -0.16585  -0.25570
  35.52715    0.22696   0.22243   0.20219   0.16687   0.11851   0.05917  -0.00947  -0.08611  -0.16974  -0.25956
  35.57510    0.22281   0.21831   0.19813   0.16286   0.11454   0.05523  -0.01337  -0.08998  -0.17358  -0.26337
  35.62305    0.21872   0.21425   0.19413   0.15891   0.11062   0.05135  -0.01722  -0.09380  -0.17737  -0.26714
  35.67101    0.21469   0.21025   0.19019   0.15501   0.10677   0.04753  -0.02102  -0.09756  -0.18111  -0.27085
  35.71896    0.21073   0.20631   0.18630   0.15117   0.10296   0.04376  -0.02476  -0.10128  -0.18479  -0.27451
  35.76691    0.20682   0.20243   0.18248   0.14739   0.09922   0.04004  -0.02845  -0.10494  -0.18843  -0.27812
  35.81486    0.20297   0.19861   0.17871   0.14366   0.09552   0.03638  -0.03208  -0.10855  -0.19202  -0.28169
  35.86282    0.19917   0.19485   0.17500   0.13999   0.09189   0.03277  -0.03567  -0.11211  -0.19556  -0.28521
  35.91077    0.19544   0.19114   0.17134   0.13638   0.08830   0.02921  -0.03920  -0.11563  -0.19905  -0.28868
  35.95872    0.19177   0.18749   0.16774   0.13282   0.08477   0.02571  -0.04268  -0.11909  -0.20249  -0.29210
  36.00667    0.18815   0.18390   0.16420   0.12931   0.08129   0.02225  -0.04611  -0.12250  -0.20588  -0.29547
  36.05462    0.18459   0.18037   0.16071   0.12586   0.07787   0.01885  -0.04949  -0.12586  -0.20923  -0.29880
  36.10258    0.18108   0.17689   0.15728   0.12246   0.07450   0.01550  -0.05282  -0.12917  -0.21252  -0.30208
  36.15053    0.17763   0.17347   0.15390   0.11912   0.07118   0.01221  -0.05610  -0.13243  -0.21577  -0.30531
  36.19848    0.17424   0.17010   0.15057   0.11582   0.06791   0.00896  -0.05933  -0.13565  -0.21897  -0.30849
  36.24643    0.17091   0.16679   0.14730   0.11259   0.06470   0.00576  -0.06251  -0.13881  -0.22212  -0.31163
  36.29438    0.16763   0.16353   0.14409   0.10940   0.06153   0.00262  -0.06564  -0.14193  -0.22523  -0.31473
  36.34234    0.16440   0.16033   0.14093   0.10627   0.05842  -0.00048  -0.06873  -0.14500  -0.22828  -0.31778
  36.39029    0.16123   0.15718   0.13782   0.10319   0.05536  -0.00352  -0.07176  -0.14802  -0.23130  -0.32078
  36.43824    0.15811   0.15408   0.13476   0.10016   0.05235  -0.00652  -0.07474  -0.15100  -0.23426  -0.32373
  36.48619    0.15505   0.15104   0.13176   0.09718   0.04939  -0.00947  -0.07768  -0.15392  -0.23718  -0.32664
  36.53415    0.15204   0.14805   0.12880   0.09425   0.04648  -0.01236  -0.08057  -0.15680  -0.24005  -0.32951
  36.58210    0.14908   0.14512   0.12590   0.09138   0.04362  -0.01521  -0.08341  -0.15964  -0.24288  -0.33233
  36.63005    0.14618   0.14223   0.12306   0.08855   0.04081  -0.01801  -0.08620  -0.16242  -0.24566  -0.33511
  36.67800    0.14333   0.13940   0.12026   0.08578   0.03805  -0.02077  -0.08895  -0.16516  -0.24840  -0.33784
  36.72595    0.14053   0.13662   0.11751   0.08305   0.03533  -0.02347  -0.09164  -0.16786  -0.25109  -0.34053
  36.77391    0.13778   0.13389   0.11481   0.08037   0.03267  -0.02613  -0.09430  -0.17051  -0.25374  -0.34318
  36.82186    0.13508   0.13122   0.11217   0.07775   0.03005  -0.02874  -0.09690  -0.17311  -0.25634  -0.34578
  36.86981    0.13244   0.12859   0.10957   0.07517   0.02748  -0.03130  -0.09946  -0.17567  -0.25890  -0.34834
  36.91776    0.12985   0.12601   0.10702   0.07264   0.02496  -0.03382  -0.10198  -0.17818  -0.26141  -0.35085
  36.96572    0.12730   0.12349   0.10453   0.07015   0.02249  -0.03629  -0.10445  -0.18065  -0.26388  -0.35333
  37.01367    0.12481   0.12101   0.10208   0.06772   0.02006  -0.03871  -0.10687  -0.18308  -0.26631  -0.35576
  37.06162    0.12236   0.11858   0.09968   0.06533   0.01768  -0.04109  -0.10925  -0.18546  -0.26869  -0.35814
  37.10957    0.11997   0.11620   0.09732   0.06300   0.01535  -0.04342  -0.11158  -0.18780  -0.27103  -0.36049
  37.15752    0.11762   0.11387   0.09502   0.06070   0.01306  -0.04571  -0.11387  -0.19009  -0.27333  -0.36279
  37.20548    0.11533   0.11159   0.09276   0.05846   0.01082  -0.04795  -0.11612  -0.19234  -0.27559  -0.36505
  37.25343    0.11308   0.10936   0.09055   0.05626   0.00863  -0.05015  -0.11832  -0.19454  -0.27780  -0.36727
